Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,7.55,7.61,7.49,7.59,4588400,7.59
2016-12-01,7.75,7.77,7.48,7.52,6969000,7.52
2016-11-30,7.50,7.74,7.44,7.71,6558900,7.71
2016-11-29,7.43,7.51,7.36,7.44,4125800,7.44
2016-11-28,7.50,7.52,7.42,7.46,3190200,7.46
2016-11-25,7.45,7.56,7.44,7.49,2293500,7.49
2016-11-23,7.53,7.60,7.47,7.47,3362700,7.47
2016-11-22,7.57,7.62,7.50,7.60,7049700,7.60
2016-11-21,7.58,7.68,7.52,7.59,6241500,7.59
2016-11-18,7.45,7.59,7.45,7.57,3391400,7.57
2016-11-17,7.57,7.59,7.42,7.49,3035900,7.49
2016-11-16,7.48,7.83,7.47,7.56,8154100,7.56
2016-11-15,7.34,7.53,7.29,7.52,4000300,7.52
2016-11-14,7.31,7.43,7.23,7.30,6450500,7.30
2016-11-11,7.14,7.28,7.07,7.27,3183000,7.27
2016-11-10,7.09,7.22,6.99,7.17,4420400,7.17
2016-11-09,6.93,7.17,6.93,7.15,4343300,7.15
2016-11-08,7.07,7.12,6.98,7.11,2113800,7.11
2016-11-07,7.06,7.15,7.02,7.06,2212300,7.06
2016-11-04,6.99,7.07,6.95,6.97,2120800,6.97
2016-11-03,7.05,7.07,6.95,7.00,2231400,7.00
2016-11-02,7.04,7.15,7.00,7.02,2864100,7.02
2016-11-01,7.20,7.25,6.98,7.07,4206800,7.07
2016-10-31,7.08,7.11,7.00,7.05,2343000,7.05
2016-10-28,7.11,7.27,7.08,7.09,3730400,7.09
2016-10-27,7.27,7.28,7.14,7.14,2961200,7.14
2016-10-26,7.28,7.37,7.21,7.26,3031600,7.26
2016-10-25,7.41,7.41,7.26,7.27,2620500,7.27
2016-10-24,7.38,7.48,7.32,7.35,2080300,7.35
2016-10-21,7.43,7.48,7.37,7.37,2209900,7.37
2016-10-20,7.40,7.48,7.37,7.48,1765800,7.48
2016-10-19,7.43,7.55,7.39,7.46,2123300,7.46
2016-10-18,7.44,7.49,7.37,7.42,1737200,7.42
2016-10-17,7.51,7.55,7.34,7.37,2654900,7.37
2016-10-14,7.67,7.67,7.44,7.49,2597000,7.49
2016-10-13,7.50,7.56,7.41,7.47,2909600,7.47
2016-10-12,7.64,7.73,7.58,7.60,11443200,7.60
2016-10-11,7.87,7.89,7.65,7.67,3709400,7.67
2016-10-10,7.91,7.92,7.76,7.89,2323400,7.89
2016-10-07,7.92,7.98,7.80,7.86,2590900,7.86
2016-10-06,7.71,8.01,7.65,7.94,6948100,7.94
2016-10-05,7.70,7.73,7.63,7.66,3117000,7.66
2016-10-04,7.76,7.88,7.63,7.66,4476300,7.66
2016-10-03,7.94,8.02,7.84,7.85,3961700,7.85
2016-09-30,7.97,8.05,7.88,7.98,5645700,7.98
2016-09-29,8.27,8.36,7.88,7.94,11349000,7.94
2016-09-28,8.16,8.46,8.06,8.33,23347800,8.33
2016-09-27,7.83,7.94,7.80,7.88,4488700,7.88
2016-09-26,7.87,7.97,7.77,7.82,4531100,7.82
2016-09-23,7.86,8.02,7.86,7.91,2522800,7.91
2016-09-22,7.86,7.92,7.78,7.89,3533100,7.89
2016-09-21,7.58,7.79,7.58,7.77,3714900,7.77
2016-09-20,7.39,7.58,7.33,7.55,3701400,7.55
2016-09-19,7.29,7.47,7.28,7.35,2866000,7.35
2016-09-16,7.18,7.29,7.16,7.21,2826900,7.21
2016-09-15,7.20,7.28,7.15,7.24,2714100,7.24
2016-09-14,7.23,7.33,7.17,7.22,2764600,7.22
2016-09-13,7.59,7.63,7.24,7.26,4814600,7.26
2016-09-12,7.55,7.63,7.45,7.60,3003200,7.60
2016-09-09,7.59,7.64,7.44,7.57,5138700,7.57
2016-09-08,7.62,7.75,7.58,7.63,2895500,7.63
2016-09-07,7.71,7.75,7.62,7.68,2133800,7.68
2016-09-06,7.73,7.77,7.64,7.69,1548200,7.69
2016-09-02,7.66,7.77,7.62,7.70,1894100,7.70
2016-09-01,7.59,7.66,7.55,7.61,2032100,7.61
