Date,Open,High,Low,Close,Volume,Adj Close
2016-12-02,40.299999,40.490002,40.189999,40.360001,11160400,40.360001
2016-12-01,40.310001,40.389999,39.880001,40.169998,20323600,40.169998
2016-11-30,41.00,41.200001,40.349998,40.349998,22124600,40.349998
2016-11-29,41.52,41.52,41.139999,41.150002,11421900,41.150002
2016-11-28,41.509998,41.790001,41.27,41.75,19424400,41.400001
2016-11-25,41.389999,41.580002,41.240002,41.529999,7402300,41.181844
2016-11-23,41.220001,41.310001,41.029999,41.119999,9281300,40.775281
2016-11-22,41.450001,41.700001,41.240002,41.369999,12743500,41.023185
2016-11-21,40.91,41.360001,40.73,41.360001,12307000,41.013271
2016-11-18,41.029999,41.200001,40.900002,40.91,16345300,40.567043
2016-11-17,41.279999,41.299999,41.00,41.119999,12398800,40.775281
2016-11-16,41.400002,41.650002,41.16,41.259998,12681400,40.914107
2016-11-15,41.18,41.52,41.169998,41.439999,16554000,41.092598
2016-11-14,41.130001,41.419998,40.849998,41.169998,19514200,40.824861
2016-11-11,40.950001,41.130001,40.630001,41.029999,13421000,40.686035
2016-11-10,41.860001,42.259998,40.849998,40.939999,33245500,40.59679
2016-11-09,41.759998,42.32,41.700001,42.27,21351000,41.915642
2016-11-08,42.369999,42.98,42.369999,42.880001,12036600,42.520529
2016-11-07,42.040001,42.50,42.040001,42.459999,14038500,42.104048
2016-11-04,41.849998,42.040001,41.689999,41.689999,14464200,41.340502
2016-11-03,42.220001,42.220001,41.959999,42.029999,11258000,41.677652
2016-11-02,42.099998,42.34,42.009998,42.049999,12034300,41.697485
2016-11-01,42.400002,42.43,41.91,42.119999,12223400,41.766898
2016-10-31,42.119999,42.41,42.119999,42.400002,13327500,42.044553
2016-10-28,42.259998,42.470001,42.099998,42.23,13398400,41.875976
2016-10-27,42.630001,42.650002,41.900002,42.119999,14537000,41.766898
2016-10-26,43.00,43.029999,42.41,42.439999,16886200,42.084215
2016-10-25,42.639999,42.880001,42.43,42.540001,16484700,42.183379
2016-10-24,42.32,42.77,42.25,42.560001,13439200,42.203212
2016-10-21,41.849998,42.169998,41.68,42.130001,14401500,41.776816
2016-10-20,41.970001,42.110001,41.889999,41.93,10620500,41.578492
2016-10-19,41.93,42.119999,41.810001,42.049999,16367400,41.697485
2016-10-18,41.810001,42.00,41.73,41.970001,11297300,41.618158
2016-10-17,41.73,41.860001,41.57,41.599998,10792500,41.251257
2016-10-14,41.849998,41.91,41.619999,41.669998,9893800,41.32067
2016-10-13,41.650002,41.889999,41.509998,41.759998,17655600,41.409915
2016-10-12,41.630001,41.84,41.50,41.779999,12216300,41.429748
2016-10-11,41.66,41.700001,41.400002,41.540001,12249100,41.191762
2016-10-10,41.919998,41.990002,41.599998,41.73,8983600,41.380168
2016-10-07,41.830002,41.939999,41.57,41.73,8122800,41.380168
2016-10-06,41.68,41.939999,41.580002,41.709999,9722900,41.360335
2016-10-05,41.93,42.07,41.669998,41.810001,9607300,41.459499
2016-10-04,42.34,42.34,41.779999,41.84,13682700,41.489246
2016-10-03,42.310001,42.310001,41.889999,42.029999,11152800,41.677652
2016-09-30,42.209999,42.50,42.060001,42.32,14375700,41.965222
2016-09-29,42.02,42.389999,41.849998,42.029999,12671700,41.677652
2016-09-28,42.630001,42.759998,42.029999,42.150002,15523800,41.796649
2016-09-27,42.189999,42.630001,42.00,42.59,11920400,42.232959
2016-09-26,42.709999,42.720001,42.009998,42.049999,15036000,41.697485
2016-09-23,42.810001,42.939999,42.650002,42.740002,8852700,42.381703
2016-09-22,42.709999,43.009998,42.689999,42.959999,9288300,42.599856
2016-09-21,42.279999,42.610001,42.099998,42.529999,13654700,42.173461
2016-09-20,42.310001,42.529999,42.240002,42.34,8407200,41.985055
2016-09-19,42.16,42.369999,42.080002,42.099998,7659900,41.747065
2016-09-16,42.169998,42.259998,41.970001,42.139999,16354000,41.786731
2016-09-15,42.009998,42.389999,41.880001,42.360001,10158500,42.004888
2016-09-14,42.27,42.41,41.990002,42.110001,9823900,41.756983
2016-09-13,42.77,42.77,42.209999,42.279999,12962700,41.925556
2016-09-12,42.360001,43.23,42.34,43.189999,15932300,42.48086
2016-09-09,43.43,43.43,42.27,42.27,23624200,41.575967
2016-09-08,43.669998,43.73,43.450001,43.630001,10020400,42.913638
2016-09-07,43.720001,43.799999,43.529999,43.639999,8656600,42.923472
2016-09-06,43.740002,43.799999,43.400002,43.790001,8600400,43.071011
2016-09-02,43.52,43.830002,43.470001,43.66,9026000,42.943144
2016-09-01,43.209999,43.41,43.200001,43.349998,8457800,42.638233
2016-08-31,43.43,43.459999,43.080002,43.43,10217900,42.716921
2016-08-30,43.459999,43.529999,43.119999,43.240002,9720100,42.530042
2016-08-29,43.34,43.610001,43.330002,43.540001,9544600,42.825115
2016-08-26,43.720001,43.919998,43.310001,43.32,11824900,42.608726
2016-08-25,43.849998,43.939999,43.630001,43.669998,9815700,42.952978
2016-08-24,43.82,43.939999,43.66,43.849998,11508900,43.130023
2016-08-23,43.849998,43.98,43.740002,43.849998,8421100,43.130023
2016-08-22,43.939999,43.950001,43.73,43.740002,8687500,43.021832
2016-08-19,44.049999,44.060001,43.740002,43.919998,9385900,43.198873
2016-08-18,44.009998,44.259998,44.00,44.099998,9144300,43.375918
2016-08-17,44.009998,44.07,43.779999,44.060001,11208500,43.336578
2016-08-16,44.25,44.25,43.830002,43.830002,9706100,43.110355
2016-08-15,44.099998,44.330002,44.009998,44.240002,10390600,43.513623
2016-08-12,43.91,44.189999,43.790001,44.029999,10928900,43.307068
2016-08-11,43.720001,43.869999,43.619999,43.75,11303300,43.031666
2016-08-10,43.639999,43.689999,43.50,43.610001,8412100,42.893966
2016-08-09,43.50,43.639999,43.380001,43.470001,7281300,42.756265
2016-08-08,43.43,43.52,43.220001,43.439999,8680300,42.726755
2016-08-05,43.650002,43.75,43.41,43.48,10398200,42.766099
2016-08-04,43.560001,43.799999,43.400002,43.509998,11244100,42.795605
2016-08-03,43.66,43.700001,43.369999,43.639999,12119100,42.923472
2016-08-02,43.349998,43.580002,43.310001,43.529999,12825200,42.815277
2016-08-01,43.689999,43.830002,43.43,43.450001,12349700,42.736593
2016-07-29,43.720001,43.75,43.48,43.630001,16530500,42.913638
2016-07-28,43.27,43.689999,43.220001,43.650002,13077800,42.93331
2016-07-27,43.900002,44.060001,43.099998,43.400002,37461100,42.687415
2016-07-26,45.529999,45.650002,44.830002,44.880001,15819900,44.143114
2016-07-25,45.810001,45.830002,45.470001,45.57,9134300,44.821783
2016-07-22,45.50,45.84,45.459999,45.830002,8836100,45.077517
2016-07-21,45.34,45.509998,45.259998,45.450001,8045100,44.703755
2016-07-20,45.75,45.77,45.389999,45.509998,8478200,44.762767
2016-07-19,45.459999,45.709999,45.43,45.630001,7761100,44.8808
2016-07-18,45.689999,45.700001,45.48,45.630001,7958300,44.8808
2016-07-15,45.880001,45.900002,45.439999,45.630001,10621000,44.8808
2016-07-14,45.73,45.939999,45.580002,45.689999,7621200,44.939812
2016-07-13,45.610001,45.759998,45.43,45.740002,8028400,44.988994
2016-07-12,45.639999,45.709999,45.18,45.580002,9739000,44.831621
2016-07-11,45.349998,45.77,45.110001,45.57,10937800,44.821783
2016-07-08,45.299999,45.52,45.07,45.380001,11127100,44.634904
2016-07-07,45.419998,45.52,44.970001,45.09,9741100,44.349665
2016-07-06,45.50,45.549999,44.919998,45.27,10902600,44.52671
2016-07-05,45.16,45.669998,45.150002,45.43,12339100,44.684083
2016-07-01,45.330002,45.41,45.07,45.119999,11799700,44.379171
2016-06-30,44.52,45.330002,44.490002,45.330002,16056500,44.585726
2016-06-29,44.389999,44.709999,44.240002,44.439999,12250900,43.710336
2016-06-28,44.060001,44.189999,43.669998,44.18,16509800,43.454607
2016-06-27,43.669998,43.889999,43.32,43.779999,15779500,43.061173
2016-06-24,44.200001,44.560001,43.82,43.93,26003700,43.208711
2016-06-23,45.029999,45.169998,44.84,45.080002,9655300,44.339831
2016-06-22,45.25,45.330002,44.810001,44.860001,10738900,44.123442
2016-06-21,45.16,45.279999,45.00,45.130001,7919400,44.389009
2016-06-20,45.09,45.310001,44.959999,44.98,10712400,44.241471
